customer_id,signup_date,plan_type,monthly_charge,tenure_months,churn_flag,churn_date,churn_reason,usage_frequency,support_tickets_raised,last_login_date,payment_method,region,age_group,acquisition_channel,upsell_count,downsell_count,discount_applied,discount_pct,cohort_month,tenure_bucket,recency_days,frequency_per_month,historical_clv,clv_tier,signup_year_month,churn_month
C02316,2023-01-01,Premium,83.19125,29,0,,billing,18.0,1.0,2025-05-21,Card,Latin America,25-34,Direct,4,1,1,0.15387499999999998,2023-01-01,25-60,199,0.6206896551724138,2041.32,High,2023-01,
C02442,2023-01-01,Basic,18.12,21,1,2024-01-16,support issues,6.0,1.0,2023-12-15,Card,Latin America,25-34,Direct,0,0,1,0.151,2023-01-01,13-24,722,0.2857142857142857,323.06,Medium,2023-01,2024-01-01
C03674,2023-01-01,Standard,39.33,23,1,2024-05-30,no usage,8.0,2.0,2024-05-18,Wallet,North America,55+,Referral,5,0,1,0.141,2023-01-01,13-24,567,0.34782608695652173,777.04,High,2023-01,2024-05-01
C05083,2023-01-01,Basic,27.56,13,1,2023-08-24,price sensitivity,5.0,2.0,2023-08-07,ACH,APAC,45-54,Organic Search,2,0,1,0.035,2023-01-01,13-24,852,0.38461538461538464,345.74,Medium,2023-01,2023-08-01
C05760,2023-01-01,Basic,15.18,15,1,2023-12-01,competitor,5.0,3.0,2023-10-08,Card,North America,45-54,Referral,2,0,1,0.006,2023-01-01,13-24,790,0.3333333333333333,226.33,Medium,2023-01,2023-12-01
C06302,2023-01-01,Basic,13.5,23,1,2024-02-06,billing,6.0,3.0,2024-01-19,Card,North America,25-34,Email,1,1,1,0.038,2023-01-01,13-24,687,0.2608695652173913,298.7,Medium,2023-01,2024-02-01
C06906,2023-01-01,Basic,16.66,24,1,2023-10-24,billing,9.0,2.0,2023-09-22,Card,North America,18-24,Partnerships,4,0,1,0.066,2023-01-01,13-24,806,0.375,373.45,Medium,2023-01,2023-10-01
C07006,2023-01-01,Standard,33.02,15,1,2024-02-01,no usage,9.0,1.0,2024-01-01,Card,North America,55+,Partnerships,4,0,1,0.054,2023-01-01,13-24,705,0.6,468.55,Medium,2023-01,2024-02-01
C01482,2023-01-02,Premium,81.84,18,1,2024-05-20,billing,13.0,2.0,2024-04-03,Wallet,North America,45-54,Partnerships,5,0,1,0.064,2023-01-01,13-24,612,0.7222222222222222,1378.84,High,2023-01,2024-05-01
C02322,2023-01-02,Basic,16.31,18,1,2023-09-16,billing,9.0,3.0,2023-01-08,Card,North America,18-24,Organic Search,5,0,1,0.055,2023-01-01,13-24,1063,0.5,277.43,Medium,2023-01,2023-09-01
