customer_id,signup_date,plan_type,monthly_charge,tenure_months,churn_flag,churn_date,churn_reason,usage_frequency,support_tickets_raised,last_login_date,payment_method,region,age_group,acquisition_channel,upsell_count,downsell_count,discount_applied,discount_pct
C00001,23-03-2023,Basic,19.41,16,1,"Feb 01, 2024",billing,5,2.0,01/25/2024,Card,Europe,25-34,Paid Ads,2,0,1,0.02
C00002,"Dec 06, 2024",Standard,41.18,6,0,,,10,0.0,2025-05-28,Card,Latin America,18-24,Partnerships,2,0,1,0.068
C00003,2024-08-19,Standard,38.99,10,1,2024-12-17,billing,15,1.0,2024-11-10,PayPal,North America,25-34,Email,1,0,1,
C00004,"Feb 05, 2024",Standard,36.91,16,0,,,15,0.0,2025-05-27,PayPal,North America,35-44,Organic Search,5,0,1,0.014
C00005,30-01-2024,Standard,47.11,17,0,,,10,1.0,2025-06-18,PayPal,Europe,45-54,Organic Search,2,0,1,0.139
C00006,22-02-2025,Basic,18.54,4,1,2025-06-10,billing,8,8.0,2025-04-10,ACH,North America,25-34,Direct,3,1,1,0.037
C00007,2023-03-20,Basic,18.32,17,1,2024-08-09,,6,4.0,"Jun 25, 2024",ACH,North America,45-54,Referral,2,0,1,0.169
C00008,"Sep 27, 2024",Basic,18.13,9,1,2025-05-24,billing,5,2.0,11-05-2025,Card,North America,18-24,Paid Ads,1,0,1,0.263
C00009,"Jul 03, 2023",Premium,77.87,23,0,,,14,2.0,2025-05-27,Card,Europe,55+,Paid Ads,5,0,1,0.021
C00010,03/27/2023,Basic,13.55,16,1,2024-05-28,billing,4,1.0,04/27/2024,,North America,35-44,Organic Search,1,1,1,0.016
C00011,"Apr 25, 2024",Premium,68.97,14,0,,,13,0.0,"Jun 15, 2025",Card,Europe,25-34,Referral,4,0,1,0.277
C00012,06/08/2025,Basic,28.78,1,1,2025-06-22,price sensitivity,5,3.0,2025-06-08,PayPal,APAC,35-44,Organic Search,2,0,1,0.035
C00013,11/02/2024,Basic,12.4,7,0,,,8,3.0,21-05-2025,Card,Europe,25-34,Direct,2,0,1,0.066
C00014,11/25/2024,Basic,20.09,7,1,2025-03-02,billing,4,2.0,2025-01-21,ACH,North America,25-34,Paid Ads,2,0,1,0.008
C00015,"Oct 16, 2024",Basic,20.37,4,1,11/29/2024,competitor,8,3.0,11/05/2024,PayPal,North America,25-34,Paid Ads,0,0,1,0.013
C00016,2024-12-17,Standard,45.08,6,0,,,11,1.0,"May 31, 2025",PayPal,North America,55+,Referral,0,0,1,0.016
C00017,2024-04-13,Standard,41.2,14,0,,,11,1.0,2025-06-03,Card,Europe,45-54,Organic Search,2,0,1,0.124
C00018,2023-04-27,Basic,26.56,13,1,03/14/2024,billing,7,0.0,2024-02-11,Card,Latin America,35-44,Email,5,1,1,0.078
C00019,2025-02-04,Standard,40.44,3,1,"Apr 10, 2025",billing,10,3.0,2025-03-01,Card,North America,45-54,Direct,1,0,1,0.108
C00020,"Feb 15, 2024",Standard,47.09,16,0,,,13,0.0,09-06-2025,Card,North America,18-24,Partnerships,4,0,1,0.058
C00021,01-04-2024,Premium,89.4,14,0,,,20,0.0,05/21/2025,Card,North America,35-44,Referral,3,0,1,0.285
C00022,"Dec 05, 2023",Premium,94.42,18,0,,,12,0.0,2025-05-22,Wallet,North America,25-34,Referral,5,0,1,0.274
C00023,2023-06-16,Standard,39.15,24,0,,,11,0.0,2025-06-07,Wallet,APAC,25-34,Organic Search,5,0,1,0.012
C00024,2025-04-25,Premium,82.98,1,1,"May 24, 2025",billing,16,1.0,2025-05-07,Card,North America,55+,Referral,5,0,1,0.131
C00025,2024-12-13,Standard,36.78,6,0,,,14,3.0,2025-06-11,PayPal,North America,45-54,Direct,5,0,1,0.286
C00026,2024-08-10,Standard,39.96,4,1,11/24/2024,competitor,12,3.0,2024-10-20,Card,North America,55+,Paid Ads,2,0,1,0.04
C00027,"Jan 03, 2024",Standard,40.29,17,0,,,13,0.0,2025-05-29,Card,North America,35-44,Organic Search,5,1,1,0.057
C00028,2025-01-20,Basic,10.69,4,1,2025-04-11,competitor,6,1.0,10-03-2025,ACH,North America,25-34,Paid Ads,2,0,1,0.072
C00029,"May 12, 2024",Standard,38.14,10,1,2025-01-12,billing,10,2.0,2024-12-08,PayPal,Europe,45-54,Organic Search,4,0,1,0.132
C00030,2024-02-09,Premium,87.9,16,0,,,17,0.0,2025-05-29,ACH,North America,18-24,Paid Ads,5,0,1,0.006
C00031,02/15/2024,Basic,13.6,16,0,,,3,2.0,30-05-2025,Card,North America,45-54,Referral,1,0,1,0.018
C00032,"Jul 27, 2023",Premium,69.14,23,0,,,13,0.0,2025-06-09,Card,Europe,18-24,Email,5,0,1,0.208
C00033,"Mar 26, 2023",Premium,90.56,19,1,2024-09-12,product dissatisfaction,13,1.0,"Aug 26, 2024",Card,Europe,45-54,Organic Search,4,0,1,0.007
C00034,20-05-2024,Basic,24.37,12,1,"Mar 26, 2025",billing,6,0.0,"Mar 03, 2025",PayPal,North America,35-44,Organic Search,2,0,1,0.026
C00035,2025-03-20,Standard,35.28,3,1,06/18/2025,no usage,8,4.0,12-05-2025,Card,APAC,18-24,Paid Ads,2,1,1,0.024
C00036,2023-02-28,Premium,80.74,16,1,02/21/2024,billing,14,0.0,"Jan 31, 2024",Card,North America,18-24,Organic Search,5,0,1,0.205
C00037,"Feb 21, 2025",Premium,78.22,4,0,,,16,0.0,"Jun 14, 2025",Card,APAC,25-34,Direct,1,0,1,0.221
C00038,"Jan 24, 2025",Basic,23.71,5,1,22-04-2025,support issues,3,6.0,02/27/2025,Card,APAC,25-34,Organic Search,1,2,1,0.068
C00039,"Sep 10, 2023",Basic,16.87,12,1,2024-01-16,price sensitivity,6,1.0,12/20/2023,Card,Europe,45-54,Email,5,0,1,0.047
C00040,07/30/2024,Standard,36.73,11,0,,,16,0.0,2025-06-18,ACH,North America,25-34,Partnerships,5,0,1,0.071
C00041,31-05-2023,Basic,24.36,25,0,,,7,0.0,2025-06-24,Card,APAC,25-34,Referral,5,0,1,0.259
C00042,11/22/2024,Basic,14.99,5,1,"Mar 03, 2025",competitor,11,3.0,2025-01-25,Card,North America,25-34,Email,1,0,1,0.171
C00043,2024-09-30,Basic,17.01,9,0,,,2,3.0,"Jun 21, 2025",Wallet,North America,18-24,Direct,1,0,1,0.054
C00044,2023-11-20,Basic,19.53,13,1,30-11-2024,price sensitivity,9,2.0,2024-10-28,Card,Europe,25-34,Email,5,0,1,0.019
C00045,03-03-2023,Standard,48.14,27,0,,,9,0.0,2025-05-21,Card,Europe,45-54,Paid Ads,5,0,1,0.054
C00046,2025-06-04,Standard,31.84,1,1,2025-06-27,billing,5,4.0,2025-06-04,ACH,APAC,35-44,Email,1,0,1,0.141
C00047,11-02-2024,Standard,34.74,12,1,2024-07-23,price sensitivity,7,2.0,28-06-2024,Card,Latin America,55+,Organic Search,1,0,1,0.04
C00048,03/25/2025,Standard,42.56,1,1,"Apr 23, 2025",billing,9,3.0,"Mar 25, 2025",Wallet,APAC,25-34,Paid Ads,2,0,1,0.074
C00049,2024-09-10,Basic,21.99,9,0,,,6,1.0,05-06-2025,Card,Latin America,25-34,Email,1,0,1,0.031
C00050,"Dec 10, 2024",Basic,19.85,3,1,25-02-2025,price sensitivity,5,1.0,02/05/2025,PayPal,Latin America,18-24,Paid Ads,0,0,1,0.073
C00051,"Nov 24, 2024",Basic,18.53,7,0,,,8,1.0,06/24/2025,Card,Europe,35-44,Organic Search,4,0,1,0.066
C00052,27-06-2023,Basic,19.52,11,1,"Dec 13, 2023",product dissatisfaction,10,1.0,"Nov 30, 2023",Card,APAC,18-24,Organic Search,4,0,1,0.034
C00053,2023-11-28,Basic,12.97,19,0,,,7,2.0,2025-06-16,Card,APAC,18-24,Organic Search,2,1,1,0.062
C00054,2024-03-01,Basic,19.41,15,0,,,7,1.0,05/21/2025,Card,APAC,35-44,Paid Ads,5,0,1,0.084
